time,text,image,likes,comments,source
2019-08-20 16:23:04,"Selling textbooks for German Level 1 & 2 at the CLIE; Themen Aktuell 1 and Erste Schritte. Bought for £20, will sell for £10. Both books are in pristine condition (never written in) and the CD for… More Themen Aktuell is still sealed. Also, if this is an inappropriate forum for this type of message could someone please direct me to a better one. :)",https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/68660403_2181057795339106_3877497655944806400_o.jpg?_nc_cat=105&_nc_ohc=pk_86-_fb9MAX81ITup&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=de04471505d0a9565719443053da5d6a&oe=5E967BFB,0,0,0
2017-11-17 16:33:08,Buff russian blondie opposite me in the geog section hit me up some time,,0,4,0
2018-04-17 19:37:05,MN I want you to head something other then CW and i want you to do it soonn Dont let Isoc change you so we can get it on xx,,1,1,1
2017-12-24 08:45:23,"I love you so so much, you bring me peace of mind when I need it most, you listen to me sob for hours when I need your support. But best of all, my dear, our late night encounters have been amazing. I just wish you were a bit more open with me ;)) Seriously. Main library. Can you please be fucking open weekend nights, I got Monday deadlines...",,63,14,0
2019-04-06 14:32:37,tfw when you get rejected from UCL,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/56290998_377711652832726_5989448627188137984_n.jpg?_nc_cat=108&_nc_ohc=KSa5FOZOxQkAX-kj_up&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=d6e3feeeece96c32bb49d779ded8885c&oe=5ED0F6E1,1,1,1
2017-12-12 19:43:07,The cute Latino looking guy with black long hair sitting in Anthropology. I think I am falling in love with you. Please come back tomorrow. xxx,,0,3,0
2017-12-10 21:34:22,Moobs,,3,3,0
2018-12-28 13:08:37,where all my wlw at?,,4,1,1
2017-12-01 18:11:33,"To the big turk with the big ****. HMU. from the BBW girl from skype, i'll give you the most amazing shows xxx",,0,2,0
2018-06-07 12:32:31,"So apparently our academic transcripts will be sent to us '8-10 weeks after the awards have been ratified by the UCL authorities', that sounds like ages - what if we need them for applications for further study, jobs, etc.?",,2,0,0
2017-11-29 19:14:38,"Afro-Caribbean guy from ramsay last year, think you licked a wall or something but you have a really lush booty. Hmu",,0,0,0
2019-12-19 01:26:27,Shoutout to presidents and treasurers. How do your societies secure sponsorship? From a sad boi who is struggling with funding.,,2,19,1
2019-05-15 22:11:42,Join the UCL climate strike next Friday! https://www.facebook.com/events/673686489746643/,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/60409489_2022604181184469_1904405687505518592_o.jpg?_nc_cat=101&_nc_ohc=AOsnzLucIJMAX9LLl-E&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=a8247f728baa60c102797e9ddff6d805&oe=5E94C6E2,7,0,0
2017-11-15 15:31:33,To the Mandarin teacher who shares a name with a specific beer although sweeter. Nǐ hěn hǎo (not a question) xD You are very cute/clumsy cant wait to see you next lesson.,,3,1,0
2019-08-20 16:38:56,me explaining selcs to my children,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/69186105_2181085875336298_7436806340552425472_o.jpg?_nc_cat=100&_nc_ohc=xVUGCSXlcFIAX8mHCxK&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=2cfd91d44dd928f6280c0169eb1e6747&oe=5ED8E950,19,16,0
2019-09-11 23:58:16,"Pfff Honk Kong Exchange is so stupid, all it cost me to get LSE was £30k and my mental health, smh.",https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-9/69527298_461617424442148_2160843006335254528_n.png?_nc_cat=107&_nc_ohc=0RY2-RUPqGUAX-5Gtob&_nc_ht=scontent-hkg3-2.xx&oh=d811c64038453981a6351d6dcbd1ac73&oe=5E8D4534,187,21,1
2018-12-14 16:54:06,Fair play to imperial! Had no idea they have a space program,https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-9/48371712_1806825112762378_4443368642393931776_o.png?_nc_cat=111&_nc_ohc=5uFZe9kmgDIAX_PmNJh&_nc_ht=scontent-hkg3-2.xx&oh=36d00c13b1b92e950d3ac463a974b89f&oe=5E9B1332,240,62,0
2020-01-05 04:33:24,"If you’re reading this, just know there’s nothing I’d rather do then be watching a movie under a blanket with you.",,0,0,0
2018-11-13 17:51:52,Sitting in a café next to a bunch of KCL kids and they were surpised that Dunkirk is a part of England next to Brighton that is owned by the French.,,7,0,1
2020-01-17 16:31:45,"PPE is the hardest degree. We have to write politics and philosophy essays, do pure-Econ-level maths, AND learn R??? Tag your struggling PPE friends :(",,0,1,0
2020-01-14 08:55:44,Is AH this year's replacement for TC from EEE? 🤔🤔 Seems to be a lot of posts about her,,0,1,0
2018-12-21 00:48:31,JUST DATE ME ALREADY,,2,1,0
2019-06-10 02:24:44,Trying to explain to ur mum why u might have to come back to uni to do resits in summer,https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/62227265_2063338070444413_9061358122328653824_n.jpg?_nc_cat=111&_nc_ohc=ezYMd-e-M7AAX-dz9Zo&_nc_ht=scontent-hkg3-2.xx&_nc_tp=12&oh=63302efa75e91e3c6dd54cbedd09495a&oe=5E998C6A,167,55,0
2019-03-26 20:33:35,I had my iQ score tested recently and it’s not even 100. Wtf am I doing at this uni then??,,4,11,0
2020-01-05 04:40:28,"A girl I was dating broke it off with me and weeks later I still feel so sad, lonely and empty 😔😔😔 I really miss holding her and letting her lie on me 🥺🥺. I'm so desperate for a cuddle buddy.",,0,0,0
2018-09-22 10:32:01,When she says she’s a Marxist,https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/42301094_1698392430272314_8974645515761221632_n.jpg?_nc_cat=107&_nc_ohc=xm8HCX-qYz8AX9JYF3G&_nc_ht=scontent-hkg3-2.xx&_nc_tp=12&oh=ec7e328c9c3809fcdcebfef98e486266&oe=5ED71EA4,1,0,0
2018-05-01 18:17:13,Whoever the fuck was screaming (singing really high notes) on the 3rd floor of CS hall this afternoon at 4. Fuck you and I hope lose your voice.,,1,0,1
2017-11-21 22:28:03,"Oh, darling N, I see you from afar, I'm always wondering in 2nd year econ lectures, you wanna grab a drink in the bar? I see you in the library, don't work till too late, I would be so happy, if we were to go on a date.",,1,0,0
2019-05-18 11:37:36,First term vs last term,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/60622109_2026716367439917_7290287886346223616_n.jpg?_nc_cat=108&_nc_ohc=B8uqHeQOeb4AX8mbL6p&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=42c45699c62d93192b2d47bad85b3dbb&oe=5EA2D605,75,8,0
2018-04-11 16:49:19,Just cut the BS already and ma-Lay me ;) It's so Bhad I don't see you around anymore but I can really Sree a future with us together. Lmk You know who xoxo,,0,1,1
2019-03-24 13:45:49,mood,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/54728539_1945617892216432_3292421448353710080_o.jpg?_nc_cat=101&_nc_ohc=KtCepjOpH7MAX9O-NlS&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=cf8e72bf906e0f4f4651a97928be2f8c&oe=5EA5D3FE,72,39,0
2018-10-28 23:49:24,How dare they. Do they even know who my father is?,https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-9/44979675_309316593005566_8191733386415439872_n.png?_nc_cat=109&_nc_ohc=CLQ9B1yhRbEAX_h7XZf&_nc_ht=scontent-hkg3-2.xx&oh=6222649ffb97edcda60653c4740c91c1&oe=5E97B295,96,35,1
2018-12-23 18:44:45,Boat Party.,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/48417202_1819231271521762_6655490156629327872_n.jpg?_nc_cat=102&_nc_ohc=CbBE21IpZWkAX8IaIiY&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=fe85bfa5b12e60f9f1b712b7f8df9743&oe=5EA6FE89,4,5,0
2019-06-27 23:11:26,That god damn globe is on Wikipedia,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/65565753_420334218570469_4871101115392851968_o.png?_nc_cat=108&_nc_ohc=DkBc-v106VkAX8pFPlP&_nc_ht=scontent-hkg3-1.xx&oh=761bd7f2ba823011f48c6a02681379e6&oe=5E987180,240,21,1
2019-06-04 14:39:38,"All people at UCL not doing ESPS will never understand what it really means to do this degree. The blood, sweat, and pain that it take to complete it. -a recently done fourth year ESPS student",,2,4,0
2020-01-16 14:31:45,"Girl with the shaved head and long brown coat (with womens rugby?) at ulu on wednesday, you're hot are you gay ;)",,0,0,0
2020-01-08 15:54:52,Look forward to welcoming them all in September,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/82391851_2454474604664089_6572261610352541696_n.jpg?_nc_cat=108&_nc_ohc=IT2tkBnkTuUAX_5E-xr&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=e6845da47be5da598ee6398e7bf02aa7&oe=5E984415,240,43,0
2020-01-17 16:31:18,"So I think I’m in love with my best friend. We are both girls. I know she isn’t straight but I also don’t think she’s into me and I’m okay with it. I don’t mind whenever she talks about other guys and girls because I genuinely want her to be happy. I also don’t mind if it never develops into a relationship, i’m just happy to be friends with her at this moment in time.",,0,0,0
2019-06-14 07:15:44,Lecturer: You have to remember what basic functions look like Me:,https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/64332991_2070232139755006_6172441309471571968_n.jpg?_nc_cat=110&_nc_ohc=mximgy3jlD8AX-0NfgF&_nc_ht=scontent-hkg3-2.xx&_nc_tp=12&oh=a92403cc96ac39a8d7502b731cb8f7fb&oe=5EA6FA10,172,60,0
2017-11-21 16:22:16,"To the short second year medic sitting all alone When all the other students have flown Happily eating pot noodles back at home Whilst you study all your heavy tomes You make my head and neck roll, I want you to stick your phalange in my hole.",,1,4,0
2017-11-24 21:24:46,"Dan S, you might be the climber but I'd like to mount you, With Love, your secret admirer xoxoxo",,2,3,0
2018-12-21 00:19:08,"""Snap back to reality"" - Marshall Bruce Mathers III",https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/48398530_1815547321890157_3422052035317465088_n.jpg?_nc_cat=104&_nc_ohc=wNE4VgrRJcQAX-OkFWm&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=73bfc19ab3838b85c2fc2377b8344fc5&oe=5E8E19B4,14,4,0
2018-03-22 21:06:58,"Can the hillbilly wearing a grey jumper in the classics section PLEASE stop staring at me suggestively, we're in a library not a zoo... although I don't even think zoo animals eat louder than you munching those biscuits...",,1,1,0
2017-12-21 13:27:19,"To my sizzling samosa with the prettiest penis, One year on and you still leave me dripping wet. Thank you for my first orgasm, but also for always having my back. You make me want to be a better person, so I appreciate you a lot. Happy Anniversary daddy💗",,0,13,0
2018-09-13 15:12:18,"Tutors Green is a leading provider of private academic tuition in London. They’re offering one hour of free tuition to all new customers. If you’re interested in private tuition you can contact them via their website: www.tutorsgreen.com. Use the following code to receive your free hour tuition: TutorsGreen.80 📚📚📚📚 GCSE, A-level tuition available too!",,1,0,0
2019-08-09 16:30:44,any goths at ucl? xx i don't wanna be the only one xx,,0,13,0
2017-12-17 06:13:30,Oh harry you TURN me on :* you may do history but I see you in my future,,0,7,0
2019-12-08 16:50:42,"Whoever left your airpods in UG ( old building) today, collect it from the old building receptionist.",,0,0,1
2018-10-13 02:09:41,Postmodernist historiography is a shock to the system.,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/43828682_303451623592063_4668012233886793728_o.jpg?_nc_cat=108&_nc_ohc=MTv-p1dpe_sAX_cSJ1S&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=edf521e5cae290e1b3616a2a171ed930&oe=5EA500FA,15,0,1
2018-12-26 00:51:59,"A, if you just stopped being so insecure in yourself and stopped trying to play games, I would ask you out and we'd have a great time. I'm a grown man so even with your beauty and your wit, I need someone with a little more maturity and integrity. I hope in 2019 we can sort out our differences.",,1,4,0
2019-09-04 15:14:35,When’s the next K-pop night in Phineas 😍,,9,5,0
2018-06-19 22:53:45,Lowkey Gareth Southgate is quite fit tbh,,1,0,0
2020-01-14 13:59:36,This year’s zodiac is the mouse so hopefully lse will finally reign supreme because the mice have chosen lse as their home,,121,9,1
2017-12-04 19:29:24,"To the soy sauce Turkish fella, my thighs are better than the ones at KFC. Slide in my DM’s and HMU",,0,2,0
2019-02-21 11:35:44,Enough said,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/52428016_359022154701676_7931758947269083136_n.jpg?_nc_cat=104&_nc_ohc=v3Ak5UT7mAYAX89ZmtS&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=c8fa6853a50d48c93d61e00bc95140ea&oe=5ED3E0BD,9,0,1
2017-11-22 21:06:26,"WZ I don't take english like you so I can't write you a beautiful love letter but literally I just love you to pieces and I miss you so muCH You're amazing and strong and I don't know how you do it all Sorry for being bad at communicating sometimes, it doesn't mean I don't care. Can't wait to study and get maccies (or kfc?!?!?!?) with you again love, you know who xxx",,1,2,0
2019-02-10 00:17:01,What  has taught us all,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/51694301_354022831868275_12631262594334720_n.png?_nc_cat=106&_nc_ohc=4GrV_QbjOvIAX9TTNOC&_nc_ht=scontent-hkg3-1.xx&oh=63aa62ab8b5c79ef178b618df26c1016&oe=5E9E6263,7,0,1
2018-12-02 21:01:02,kings makes me laugh more than when james abdey says its 5 past 9 its stats time,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/47235496_323225931614632_5727282156992987136_n.jpg?_nc_cat=108&_nc_ohc=AFDFFPkAKUoAX83eIHw&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=d463eb2a853006d85eaddc982d11a55f&oe=5E9CBC50,69,19,1
2020-01-16 10:50:27,Do girls like nailing guys in the balls or something? Seen it happen a couple times at UCL and seen a few posts on it here. Is it like a thing?,,0,2,0
2020-01-13 07:57:57,Are there any Estonian people here? Võiks kellegiga peale teha )),,0,2,0
2020-01-06 03:41:37,Singaporeans in law: 1. Talks about the army in applications in excess 2. Comes out to vote for elections for 5 minutes and crawls back into the shadows 3. Secretly wishes they had more friends from other nationalities,,19,8,0
2019-06-08 01:03:23,There doing another rebrand at the union? This one seems to sum it up nicely,https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/62182976_2060000787444808_7703530634337058816_o.jpg?_nc_cat=111&_nc_ohc=6zp5Rd2n3rAAX_6ieQ6&_nc_ht=scontent-hkg3-2.xx&_nc_tp=12&oh=4bdc4653dc73e5fc9f7a150148eb3605&oe=5EA09AF1,6,3,0
2018-12-27 00:20:14,What we're hurtling towards,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/48911431_334190130518212_8263002776645140480_o.jpg?_nc_cat=100&_nc_ohc=lmpAoWIubvsAX_wAL8P&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=0c13cde8fb621344f89ab21fc0ebbc77&oe=5EA84F4A,61,19,1
2018-06-21 06:50:00,"Absolutely shitting it for results day for law tomorrow, and while first year doesn't count the 56 first year average makes me think I've probably got a third or worse when I look at the rest of my cohort:(",,3,1,0
2018-04-11 22:40:57,"AD, Stop writing lseloves about me. Yeah we're in the same AC100 class but stop begging this friendship. You're taking all the Fun(g) out this page. Do one. KJ",,0,1,1
2018-10-04 15:27:54,the first 24 hours of the day are the hardest,,76,5,1
2018-12-21 21:05:17,"3rd year economics student here and gotta say, those cocky shitheads who undermine humanities subjects are dumbasses. maths is just as valuable a subject as sociology or anthropology or whatever. At the end of the day we all made it into this shithole.",,56,1,1
2019-11-27 15:53:28,"""Why do you think I came all this way?"" - Bran the Broken",https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/77101033_2367584880019729_4249907226434600960_n.png?_nc_cat=104&_nc_ohc=IcEU_Mnl8hkAX9wmKzW&_nc_ht=scontent-hkg3-1.xx&oh=7067a3dd91acb50f7612aef68c12cb88&oe=5ED6BDD4,15,1,0
2019-03-24 19:31:27,"""I'll be applying for a Masters next year, I actually love my subject!""",https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/55470259_372163840054174_7574668747735040000_n.jpg?_nc_cat=103&_nc_ohc=9orgEPqQI8sAX9pkIsq&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=465af87200c5ef54338e567ba9531fab&oe=5E9B797D,166,59,1
2018-12-14 16:25:47,When circuit tells you its time to check your machine,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/48275547_328924931044732_4060576813099778048_n.png?_nc_cat=108&_nc_ohc=KoiZhN0w5xgAX-Uydph&_nc_ht=scontent-hkg3-1.xx&oh=d9c6309758da08ab038f007c500023d2&oe=5E936ED6,55,0,1
2019-11-07 11:35:58,Why do you have to make things so hard??,,0,0,1
2019-06-01 10:40:04,Europa League to Arsenal fans rn,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/61667491_2049056725205881_7019351359220613120_o.jpg?_nc_cat=102&_nc_ohc=psFmJP7_ksIAX89RPl-&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=1acc34cad58460407178dd9e096878e6&oe=5ED07133,2,1,0
2019-02-18 08:56:44,SC I want you to destroy me,,0,0,1
2017-12-14 01:14:12,Need more description from both sides guys come on,,0,0,0
2017-12-27 22:02:48,L I miss you - Any chance you ever think about me too? E,,0,3,0
2017-11-28 21:48:13,"Michael, I’ve heard you’re a great sprinter Please come to my place at any hour My door is always open, my cavity’s always ready I can’t wait to see how fast you can penetrate me",,1,0,0
2018-09-13 04:03:48,"RB and JE, i'm scared this is one way. Please tell me you still have feelings for me? Think of what we were and what we could be and for fucks sake think of the children!",,1,0,0
2019-06-13 15:02:10,Me irl,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/62478368_411757076094850_4112000782952300544_o.jpg?_nc_cat=100&_nc_ohc=D7KvGx2xnK8AX-7tdvP&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=8b2a6c4b47e57cb74dd6a99da574dd6a&oe=5E956631,55,7,1
2020-01-14 08:57:35,"Just wanted to say I had a great NYE kiss and banged a few days later! Yeah that's right, we're back in business and 2020 is looking fine. Peace out",,6,0,0
2017-12-29 10:30:31,"To the guy studying in the law library, and always reading French newspapers instead of working, Your friends call you Paul Aouch, but it seems to be your nickname ^^ Would love to buy you a drink. Hmu.",,0,1,0
2020-01-05 04:32:41,That is no orc horn,,1,2,0
2019-05-16 22:58:14,"New email phishing scam, don't fall for it",https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-9/60350379_2024303184347902_2565868283592966144_o.png?_nc_cat=111&_nc_ohc=tNq9cUF9ycEAX8nWivJ&_nc_ht=scontent-hkg3-2.xx&oh=ce6c2cc468b5a7b5f9b35aea3cd05218&oe=5ED7188D,0,0,0
2018-04-15 18:52:57,"To LN, I see you on 4th floor all the time, and I've been meaning to ask you: We already have the same surname, so won't you consider marryiNG me? Love, TN",,0,1,1
2019-12-11 23:54:44,Hockey: Other sports at UCL aren’t INCLUSIVE! Also Hockey:,https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/78809598_2398351706943046_7388492055871225856_n.jpg?_nc_cat=107&_nc_ohc=X2eXz579RPEAX_fodly&_nc_ht=scontent-hkg3-2.xx&_nc_tp=12&oh=ab15eebb34676a9d2a5d235a10592c13&oe=5ED840ED,29,10,0
2019-06-09 19:57:12,The life of an introvert,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/62059807_409436566326901_8194841087311872000_n.jpg?_nc_cat=103&_nc_ohc=Mx1JnA4kh20AX-nhu_z&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=84290997604a9646befe6a086acd43c1&oe=5ED4F5AD,36,3,1
2020-01-05 04:32:22,"DE I wish we could have just kept things as friends, like I said at the beginning. I miss you but it's a bait situation now.",,0,0,0
2019-05-17 07:26:21,when that old exam invigilator man sees your papers still out the envelope 0.001 seconds after final call:,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/60593123_2024850637626490_6820619558827589632_n.jpg?_nc_cat=105&_nc_ohc=aUosOeyBUfAAX8bCzOa&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=44b2d4cd882d714d21b7def63cdccd60&oe=5E988C38,281,36,0
2018-05-17 14:29:14,"Im sorry but King's shits all over LSE! Name one course at LSE which is more intellectually stimulating than a course at King's? LSE just turns you lot into robots, future slaves of the filthy rich. Atleast at King's we gain knowledge and understanding!",,11,16,1
2017-12-24 21:24:49,"Press F to pay respect to your lonely, single ones this Christmas xoxo",,5,0,0
2017-12-17 06:13:22,"Daniel from Information Management for Business, wanna manage MY business ;)))",,5,3,0
2018-04-12 20:31:57,Hit like if u get horny when u see the HSOC pres of LSE,,13,2,1
2019-06-01 17:50:47,Intern season at UCL?,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/61518770_2049635658481321_5915835202722070528_o.jpg?_nc_cat=104&_nc_ohc=d6eDKGP-YbAAX-j3fe4&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=04d214dba9d4fea220bd2da54b878f49&oe=5E9AEAB3,11,2,0
2018-09-02 04:38:25,.,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/40644805_1675640962547461_2630704770590965760_n.jpg?_nc_cat=104&_nc_ohc=bUXjwLGkZSMAX_cbkXQ&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=b038e65d24149e0cdc3e65d4e4c015f3&oe=5E924617,53,4,0
2020-01-05 04:40:41,To all Arts and Sciences students ! ATK is definitely the weirdest module ever ! Am I the only one thinking it doesn’t make any sense ?,,0,0,0
2018-12-12 23:18:49,"Boys, why are you like this?",https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/48357277_1804481922996697_2577085505514504192_n.jpg?_nc_cat=105&_nc_ohc=vsiVI5AmXMUAX-EHA78&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=ec8498261f270a4918f619ab0355303f&oe=5ED8560D,27,17,0
2018-09-08 07:15:36,DENNIS,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/40998506_1682467648531459_6451167739041021952_n.jpg?_nc_cat=104&_nc_ohc=m2rnVmfIieQAX9IgfT0&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=7f5abfea2f7aa6d6712d265829672d28&oe=5E8FA941,40,14,0
2018-08-31 19:42:19,Sad that nobody at UCL knows the Provost is Sugondese smh,,1,1,0
2018-09-13 15:10:39,UCL students at this time of year,https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/41719196_1688737894571101_7265794400821706752_n.jpg?_nc_cat=111&_nc_ohc=olp8H_a2w0oAX9HMKyt&_nc_ht=scontent-hkg3-2.xx&_nc_tp=12&oh=d9987f33e1ff46e571b7919dbaa95141&oe=5EA0A7D5,187,98,0
2019-03-25 14:08:08,Fr tho,https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/55644669_372473626689862_264568413475569664_n.jpg?_nc_cat=110&_nc_ohc=sUNU_PqLSIMAX8JYc8g&_nc_ht=scontent-hkg3-2.xx&_nc_tp=12&oh=c0a6b4bd0faabacfe3bed0a9cc48d61a&oe=5EA2C20A,138,28,1
2020-01-10 12:57:14,IKH stop posting ucloves about yourself lol,,0,0,0
2018-12-13 15:55:08,Rankings for elite universities success at improving access for the most disadvantaged students. Oh dear.,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/48362775_1805378939573662_1458986109684940800_n.jpg?_nc_cat=106&_nc_ohc=MaPEBjXBqW0AX8t1_Tv&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=9a8a3bcc2d8f6ddc8a45fc439d55f17c&oe=5E90792A,8,0,0
